,Time,FreestreamWindSpeed,FreestreamWindDir,YawAngles_0,AxIndFactors_0,TurbineWindSpeeds_1,TurbineWindDirs_1,TurbineTurbIntens_1
0,0.0,8.0,270.0,0.0,0.33,8.0,0.0,0.06
1,1.0,8.0,270.0,0.0,0.33,8.0,0.0,0.06
2,2.0,8.0,270.0,0.0,0.33,8.0,0.0,0.06
3,3.0,8.0,270.0,0.0,0.33,8.0,0.0,0.06
4,4.0,8.0,270.0,0.0,0.33,8.0,0.0,0.06
5,5.0,8.0,270.0,0.0,0.33,8.0,0.0,0.06
6,6.0,8.0,270.0,0.0,0.33,8.0,0.0,0.06
7,7.0,8.0,270.0,0.0,0.33,8.0,0.0,0.06
8,8.0,8.0,270.0,0.0,0.33,8.0,0.0,0.06
9,9.0,8.0,270.0,0.0,0.33,8.0,0.0,0.06
