 Case_ID  ax_ind_factors_0  mean_wind_dir  mean_wind_speed  yaw_angles_0 
    0            0              250.0            8.0             0       
    1           0.33            250.0            8.0             0       
    2           0.67            250.0            8.0             0       
    3            0              270.0            8.0             0       
    4           0.33            270.0            8.0             0       
    5           0.67            270.0            8.0             0       
    6            0              290.0            8.0             0       
    7           0.33            290.0            8.0             0       
    8           0.67            290.0            8.0             0       
    9            0              250.0            10.0            0       
    10          0.33            250.0            10.0            0       
    11          0.67            250.0            10.0            0       
    12           0              270.0            10.0            0       
    13          0.33            270.0            10.0            0       
    14          0.67            270.0            10.0            0       
    15           0              290.0            10.0            0       
    16          0.33            290.0            10.0            0       
    17          0.67            290.0            10.0            0       
    18           0              250.0            12.0            0       
    19          0.33            250.0            12.0            0       
    20          0.67            250.0            12.0            0       
    21           0              270.0            12.0            0       
    22          0.33            270.0            12.0            0       
    23          0.67            270.0            12.0            0       
    24           0              290.0            12.0            0       
    25          0.33            290.0            12.0            0       
    26          0.67            290.0            12.0            0       
